ko,enzyme_name,,,,,,,
K10944,AmoA,,,,,,,
K10945,AmoB,,,,,,,
K10946,AmoC,,,,,,,
K00531,AnfG,,,,,,,
K10535,Hao,,,,,,,
K20935,Hdh,,,,,,,
K20932,K20932,,,,,,,
K20933,K20933,,,,,,,
K20934,K20934,,,,,,,
K02567,NapA,,,,,,,
K02568,NapB,,,,,,,
K00367,NarB,,,,,,,
K00370,NarG,,,,,,,
K00371,NarH,,,,,,,
K00374,NarI,,,,,,,
K00372,NasA,,,,,,,
K00360,NasB,,,,,,,
K02586,NifD,,,,,,,
K02588,NifH,,,,,,,
K02591,NifK,,,,,,,
K00366,NirA,,,,,,,
K00362,NirB,,,,,,,
K00363,NirD,,,,,,,
K00368,NirK,,,,,,,
K15864,NirS,,,,,,,
K17877,NIT-6,,,,,,,
K04561,NorB,,,,,,,
K02305,NorC,,,,,,,
K00376,NosZ,,,,,,,
K10534,NR,,,,,,,
K03385,NrfA,,,,,,,
K15876,NrfH,,,,,,,
K22896,VnfD,,,,,,,
K22898,VnfG,,,,,,,
K22899,VnfH,,,,,,,
K22897,VnfK,,,,,,,
